Q1000070	b'Myron V. George'
Q1000296	b'Fred (footballer, born 1979)'
Q1000799	b'Herbert Greenfield'
Q1000841	b'Stephen A. Northway'
Q1001203	b'Buddy Greco'
Q100122	b'Kurt Kreuger'
Q1001240	b'Buddy Lester'
Q1001867	b'Fyodor Stravinsky'
Q1001	b'Mahatma Gandhi'
Q100227	b'Mechthildis Thein'
Q1002851	b'Trey Hillman'
Q100290	b'Otmar Bernhard'
Q100356	b'Ruth Eweler'
Q1004028	b'Bulgarian Secret Central Revolutionary Committee'
Q100440	b'Larry Hagman'
Q1004428	b'M\xc3\xa1rk\xc3\xb3 Fut\xc3\xa1cs'
Q100521	b'Wolfgang J\xc3\xb6rg'
Q100563	b'Franz Untersteller'
Q100615	b'Yvonne Ploetz'
Q1006328	b'Luigi De Filippo'
Q1006624	b'Libero De Rienzo'
Q10068	b'Lindsey Vonn'
Q1006971	b'Peng Pai'
Q1007218	b'Emil Gabrovitz'
Q100795	b'Carola Veit'
Q10085	b'Tina Maze'
Q1008881	b'Gela Bezhuashvili'
Q10088	b'Tipu Sultan'
Q10089	b'Julia Mancuso'
Q10091	b'Janica Kosteli\xc4\x87'
Q100937	b'Fred Astaire'
Q1010255	b'Giacomo Durando'
Q1010483	b'Giles Barnes'
Q1010602	b'Giorgio Gaber'
Q101064	b'Erhard Kroeger'
Q101074	b'Enno Hagenah'
Q101137	b'Yasuo Fukuda'
Q101410	b'Fran\xc3\xa7ois Fillon'
Q1015395	b'Gonzalo C\xc3\xb3rdova'
Q101599	b'Christian Carius'
Q101638	b'Mary Wollstonecraft'
Q101658	b'Peter Hauk'
Q1017109	b'Burton E. Sweet'
Q101714	b'Anita Tack'
Q1017189	b'Burwell C. Ritter'
Q1017860	b'Butch Patrick'
Q101797	b'Winona Ryder'
Q101881	b'Siegfried Balleis'
Q101886	b'Joachim von Ribbentrop'
Q101963	b'Christian Worch'
Q101982	b'Stefan Birkner'
Q101987	b'Christine Lucyga'
Q101995	b'Wilhelm Koenen'
Q102027	b'Fabio Cannavaro'
Q102124	b'Sigourney Weaver'
Q10218	b'Rahul Gandhi'
Q102200	b'\xc3\x81rp\xc3\xa1d G\xc3\xb6ncz'
Q1022064	b'Taro Shoji'
Q1022071	b'Frank Nagai'
Q1022480	b'C. Frank Reavis'
Q1022579	b'Christian William Ramseyer'
Q102297	b'Rudolf Dulon'
Q102320	b'Franz Matt'
Q102341	b'Farrah Fawcett'
Q10240	b'Dadabhai Naoroji'
Q102462	b'James Stewart'
Q102498	b'Gabriela K\xc3\xb6nig'
Q1025419	b'Caesar Augustus Rodney'
Q102551	b'Ernest Borgnine'
Q1026508	b'Caldwell Edwards'
Q1026525	b'Caleb Blood Smith'
Q102672	b'Christine Neubauer'
Q1026930	b'Charles Lyttelton, 8th Viscount Cobham'
Q102711	b'Dennis Hopper'
Q1027372	b'William G. Stahlnecker'
Q1027376	b'William Kimmel'
Q1027431	b'Tim Wirth'
Q1027455	b'Hattie Wyatt Caraway'
Q1027542	b'John Brayford'
Q102760	b'Ulla Burchardt'
Q102802	b'Grete Reinwald'
Q102813	b'Yul Brynner'
Q1028303	b'Hug\xc3\xb3 Gruber'
Q10287	b'Manuel Valls'
Q10291543	b'Gretchen Hartman'
Q1029394	b'Camillo Olivetti'
Q1029527	b'Steve Womack'
Q10296812	b'Mohammad Javad Zarif'
Q102992	b'Klaus Br\xc3\xa4hmig'
Q1029982	b'Peter Bosz'
Q1030483	b'Campbell Polson Berry'
Q1030639	b'Geoff Bodine'
Q103114	b'Michel Houellebecq'
Q1031452	b'Gyula G\xc3\xb3zon'
Q103153	b'Walther Bensemann'
Q103157	b'Kurt Russell'
Q1031985	b'Canada Lee'
Q10327831	b'May Wright Sewall'
Q103285	b'Jos\xc3\xa9 Mart\xc3\xad'
Q1032967	b'Frank T. Fitzgerald'
Q1033016	b'Halle Berry'
Q1033225	b'James R. Howe'
Q1033235	b'Mitchell May'
Q1033303	b'Jeroen Dijsselbloem'
Q1033351	b'Edmund Waller'
Q103336	b'Antje Vollmer'
Q1033589	b'Edmond Henri Adolphe Sch\xc3\xa9rer'
Q1033654	b'Cansu Ya\xc4\x9f'
Q103383	b'Alois Gl\xc3\xbcck'
Q1033917	b'Wasfi al-Tal'
Q1034113	b'Harriet Smithson'
Q103472	b'Eveline Lemke'
Q103542	b'Heinrich Jasper'
Q103591	b'Germaine Greer'
Q103619	b'Paul Grottkau'
Q103646	b'Ron Howard'
Q1037071	b'Carl Betz'
Q103711	b'Bernhard Eisenstuck'
Q103740	b'Ulla Jelpke'
Q1037660	b'Karl Ernst Jarcke'
Q1037727	b'Carl Feer-Herzog'
Q103774	b'Ravi Shankar'
Q1037793	b'S\xc3\xa1ndor Holl\xc3\xa1n Sr.'
Q1037794	b'S\xc3\xa1ndor Holl\xc3\xa1n Jr.'
Q103784	b'Donald Sutherland'
Q10379938	b'Daryl Doran'
Q10382332	b'Tiago Geronimi'
Q10383822	b'Toshiyuki Hamaguchi'
Q103846	b'Groucho Marx'
Q1038496	b'Carl Gustaf Tessin'
Q103855	b'Uwe Barth'
Q103866	b'Ralf Briese'
Q103876	b"Peter O'Toole"
Q103894	b'Alec Guinness'
Q10390	b'John McCain'
Q1039338	b'Pedro Parages'
Q103946	b'Kiefer Sutherland'
Q103949	b'Buster Keaton'
Q103954	b'Luise Eleonore Wreech'
Q103961	b'Walter Richter'
Q1039717	b'Mitsuo Matayoshi'
Q1039826	b'John Dix'
Q104000	b'Lauren Bacall'
Q104027	b'Kirk Douglas'
Q104049	b'Sidney Poitier'
Q104061	b'Steve Buscemi'
Q104067	b'Eli Wallach'
Q1040783	b'Carl Switzer'
Q104081	b'Mickey Rooney'
Q1040943	b'Carl Vinson'
Q104109	b'Mary Pickford'
Q10412366	b'Frank Lord'
Q1041259	b"Karl Ludwig Johann D'Ester"
Q104127	b'Douglas Fairbanks'
Q1041329	b'Joseph Fran\xc3\xa7ois Michaud'
Q104146	b'Deborah Kerr'
Q104151	b'Carl-Edgar Jarchow'
Q104154	b'Urbain Le Verrier'
Q10415606	b'Branko Smiljani\xc4\x87'
Q1041664	b'Nikolai Vladimirovich Ivanov'
Q104177	b'Otto Lenz'
Q104183	b'Lillian Gish'
Q1041849	b'Carlo Armellini'
Q1041895	b'Rob de Nijs'
Q1041909	b'Carlo Boszhard'
Q104190	b'Robert Walpole'
Q104196	b'Ilja Richter'
Q1042024	b'Carlo Cattaneo'
Q1042106	b'Ayako Wakao'
Q1042364	b'Carlo Pepoli'
Q1042578	b'Carlo von Tiedemann'
Q1042666	b'Carlos Aldabe'
Q104266	b'Mel Brooks'
Q1042721	b'Paola Cortellesi'
Q1042841	b'Carlos D. Shelden'
Q1042906	b'Carlos French'
Q1043065	b'Carlos Mencia'
Q104340	b'Harold Lloyd'
Q104358	b'Billie Holiday'
Q104372	b'Doris Day'
Q104392	b'Mohammed Naguib'
Q1044332	b'Carolin Fortenbacher'
Q104454	b'Mario G\xc3\xb6tze'
Q1044758	b'Giustino Durano'
Q1045511	b'Carsten Anker'
Q104572	b'Reinhold Bocklet'
Q104578	b'Carl Hinrichs'
Q1045798	b'Carte Goodwin'
Q104581	b'Louise Schroeder'
Q1045864	b'Justin Smith Morrill'
Q1045879	b'Carter Glass'
Q104622	b'Tawakkol Karman'
Q104705	b"Umaru Musa Yar'Adua"
Q1047146	b'Casey Cagle'
Q104716	b'Walter Eykmann'
Q1047261	b'Casey Stengel'
Q1047490	b'Casimir Pfyffer'
Q104774	b'Eva Bulling-Schr\xc3\xb6ter'
Q1047	b'Jawaharlal Nehru'
Q1048321	b'Master Juba'
Q1048417	b'Cassius C. Dowell'
Q104898	b'Norman Foster, Baron Foster of Thames Bank'
Q1048	b'Julius Caesar'
Q104995	b'Christine Teusch'
Q1050018	b'Adam Clayton Powell Jr.'
Q105015	b'Werner Pidde'
Q1050194	b'L\xc3\xa9ger-F\xc3\xa9licit\xc3\xa9 Sonthonax'
Q105021	b'Michael Kauch'
Q1050480	b"Lorenzino de' Medici"
Q105068	b'Mari Kiviniemi'
Q1050947	b'Paula Vesala'
Q105130	b'Hans B\xc3\xb6ckler'
Q105137	b'Grietje Staffelt'
Q105180	b'Sojourner Truth'
Q10520	b'David Beckham'
Q1052319	b'Cecil M. Harden'
Q10524	b'Ryan Giggs'
Q105338	b'Geert Wilders'
Q105341	b'Michael B\xc3\xbcrsch'
Q105349	b'Oscar Peterson'
Q1053876	b'Randolfo Pacciardi'
Q1054241	b'Ettore Petrolini'
Q1054342	b'Xu Deshuai'
Q105460	b'John Denver'
Q105480	b'Kenneth Kaunda'
Q10553748	b'Dele Alli'
Q1055449	b'Matteo Salvini'
Q1055562	b'Antonio Panzeri'
Q10556	b'Hei\xc3\xb0ar Helguson'
Q1055918	b'Lembit \xc3\x96pik'
Q10560	b'Freddie Ljungberg'
Q105620	b'Steffen Reiche'
Q1056330	b'Franco Giordano'
Q105660	b'Holly Hunter'
Q1056622	b'Guido Bodrato'
Q1056659	b'Cesar Purisima'
Q105667	b'Catherine Ashton'
Q105682	b'Tom Felton'
Q105695	b'AnnaSophia Robb'
Q10569	b'Danny Graham (footballer)'
Q105717	b'Susanne Graf'
Q105719	b'Jean Harlow'
Q10572	b'Adrian Mariappa'
Q10577	b'Tom Cleverley'
Q105796	b'Heinrich Greif'
Q105817	b'Kevin Kline'
Q1058391	b'Joseph I of Portugal'
Q1058572	b'Sviatoslav I of Kiev'
Q105875	b'Herbie Hancock'
Q105882	b'Angela Kane'
Q1058883	b'J\xc3\xb3annes Patursson'
Q1058	b'Narendra Modi'
Q10592	b'Marcus Gayle'
Q1059394	b'Antonio Bisaglia'
Q1059466	b'Maria de Luna'
Q105960	b'William Powell'
Q105970	b'Andreas Settele'
Q1059825	b'Guido Buffarini Guidi'
Q105987	b'Charles Boyer'
Q1059927	b'Gy\xc3\xb6rgy Thurz\xc3\xb3'
Q106001	b'Maurice Chevalier'
Q10601	b'Kenny Jackett'
Q10602	b'Ashley Young'
Q106039	b'Christian'
Q106057	b'Yves Montand'
Q1060894	b'Chamlong Srimuang'
Q1061071	b'Martin Paterson'
Q106126	b'Simone Signoret'
Q106143	b'Samuel Pepys'
Q106174	b'Volker Blumentritt'
Q106175	b'John Cusack'
Q1061786	b'Chandra Shumsher Jang Bahadur Rana'
Q106181	b'Robert Miles Sloman'
Q1061848	b'Jenny Tamburi'
Q1061904	b'Tom Cairney'
Q106200	b'Ralf F\xc3\xbccks'
Q106209	b'Alice Salomon'
Q106231	b'Daniel Webster'
Q106235	b'Hans-Dietrich Genscher'
Q106275	b'Juliette Binoche'
Q1062961	b'K\xc3\xa1ri P. H\xc3\xb8jgaard'
Q1063332	b'Charles Alphonse Pantal\xc3\xa9on Pelletier'
Q10633	b'Queen Elizabeth The Queen Mother'
Q1063412	b'Ranbir Kapoor'
Q1063452	b'Charles-\xc3\x89mile Freppel'
Q1063454	b'Charles A. Barlow'
Q1063483	b'Charles A. Korbly'
Q1063488	b'Charles A. Reynolds'
Q106349	b'Fanny Ardant'
Q1063643	b'Charles B. Landis'
Q1063723	b'Charles Ernest Beul\xc3\xa9'
Q1063851	b'Charles Busch'
Q1063881	b'Charles C. Reid'
Q106402	b'Johann Nepomuk von Triva'
Q1064073	b'Charles Dayan'
Q1064080	b'Charles Debrille Poston'
Q106412	b'Gerhard Polt'
Q106418	b'Catherine Deneuve'
Q1064202	b'Charles E. Chamberlain'
Q1064208	b'Charles E. Hooker'
Q1064209	b'Charles E. Hogg'
Q1064216	b'Charles E. Littlefield'
Q106423	b'Janina Uhse'
Q1064297	b'Charles Esten'
Q1064314	b'Charles F. Curry'
Q1064315	b'Charles F. Buck'
Q1064324	b'Charles F. Ogden'
Q1064346	b'Charles Farrell'
Q106443	b'Annie Girardot'
Q1064442	b'Charles Frederick Joy'
